0, r2-m0-c8,r2-m2-c6,r2-m4-c4,r2-m6-c2,r2-m8-c0,r4-m0-c6,r4-m2-c4,r4-m4-c2,r4-m6-c0,r6-m0-c4,r6-m2-c2,r6-m4-c0,r8-m0-c2,r8-m2-c0
1,  666.666666667 , 666.666666667 , 666.666666667 , 666.666666667 , 727.834473024 , 666.666666667 , 666.666666667 , 688.195217769 , 666.666666667 , 666.666666667 , 764.297739604 , 666.666666667 , 666.666666667 , 666.666666667 
2,  764.297739604 , 666.666666667 , 764.297739604 , 666.666666667 , 727.834473024 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 666.666666667 , 764.297739604 , 666.666666667 , 666.666666667 , 666.666666667 
3,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 727.834473024 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 666.666666667 , 764.297739604 , 666.666666667 , 666.666666667 , 666.666666667 
4,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 764.297739604 , 764.297739604 , 666.666666667 , 666.666666667 , 666.666666667 
5,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 764.297739604 , 764.297739604 , 666.666666667 , 666.666666667 , 666.666666667 
6,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
7,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
8,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
9,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
10,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
11,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
12,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
13,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 688.195217769 , 725.126291625 , 807.54991027 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
14,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 725.126291625 , 807.54991027 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
15,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
16,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
17,  764.297739604 , 764.297739604 , 764.297739604 , 666.666666667 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 666.666666667 , 764.297739604 , 743.563580613 
18,  764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 764.297739604 , 764.297739604 , 743.563580613 
19,  764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 764.297739604 , 764.297739604 , 743.563580613 
20,  764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 764.297739604 , 764.297739604 , 743.563580613 
21,  764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 764.297739604 , 764.297739604 , 743.563580613 
22,  764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 764.297739604 , 764.297739604 , 743.563580613 
23,  764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 764.297739604 , 764.297739604 , 743.563580613 
24,  778.891680643 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 764.297739604 , 764.297739604 , 743.563580613 
25,  778.891680643 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 764.297739604 , 764.297739604 , 725.126291625 , 764.297739604 , 807.54991027 , 764.297739604 , 764.297739604 , 764.297739604 , 743.563580613 
